Upload the image here,,output
https://drive.google.com/open?id=1Zn9oJjSBnkRMa4PZqbXZVWZtNTnc57I1,,Quick
https://drive.google.com/open?id=11kTuinu3mCJu_i6oN6T042V6nehkiaxm,,Brown
https://drive.google.com/open?id=1vAOdu4O1WuLK58N_FUEUNHHDf1BXHpgW,,Fox
https://drive.google.com/open?id=1Ei23xZ4yTGXrKimVaPTfxFNLllhU16Xe,,Dog
https://drive.google.com/open?id=1AYDZ_lNpIxzbJH1CWuAVZDbIOasfYKvy,,Fox
https://drive.google.com/open?id=11meeNJeK_p8ZC2g4T0pd2MNzxjcl3CWS,,Jumps
https://drive.google.com/open?id=1RozfqrhtsvUeEckT4BhMkPVB4k15yOAH,,"Dear Gary, I have been feeling really dirty lately. Please do me. Love Dishes"
https://drive.google.com/open?id=10EBMChfMQe6kkJ_3o165r9poU81IvoVw,,Don’t take advice from quotes on a whiteboard
https://drive.google.com/open?id=1ABVtk2T_2PSdRqvgaQjwPdtqD8G5RetN,,"Wow, The last two hours really flew by!  I hope the teacher didn’t say anything important"
https://drive.google.com/open?id=1KXGUNfj17kC6W4SWTv0d4-cdj1kv-DAT,,You miss 100% of the shots you don't take  - wayne gretzky  - michael scott
https://drive.google.com/open?id=1HSQNU7vfFJkiwgQgkXYvSpj_HgY853kX,,"Save , If internet explorer is brave enough to Ask you to be your Default browser,  you're brave enough to ask that girl out. Abhram lincoln 1863"
https://drive.google.com/open?id=1QUI6TBc-FaxujlWsGR3u_Fgd60Hpk5QL,,"14/05/19 Tuesday  God is everywhere , so pray anywhere . Have a nice day"
https://drive.google.com/open?id=1SWZXHaM8Au00tIa6Hak3iizzM8ANSHUa,,"some see a weed, some see a wish"
https://drive.google.com/open?id=1rL3vijb_wYxaMa7BuYhcuN5L03GkFUQN,,27/06/19 Thursday when you walk with god the impossible becomes possible . Have a nice day
https://drive.google.com/open?id=14LTl6hncT2qa41KcD9dXOCtc0JewvwQr,,Saturday God answers knee mails have a lovely day
https://drive.google.com/open?id=167bkBOKaLS0E4DzmK4QJiLGIPpZOD5We,,shawn There has to be an easer way? 
https://drive.google.com/open?id=1PXbq8CMZOJTuuOkbRNt22zk9dWG--jpz,,we're actually learning  - Arielle noelle 
https://drive.google.com/open?id=10VKz7HF64EMPlqyOcG2-JjwklpaF7sb0,,That’s upsetting me! Elle
https://drive.google.com/open?id=1vQLDUwWrpQf3Et8Dweq1MBq3GowYFXX4,,we're demanding more information - sean
https://drive.google.com/open?id=1U7BRHeecMuuJJvYDvxfdgroptgGtQ13n,,Everyone wants to hang out at the finish line without running the race
https://drive.google.com/open?id=1IqZBfLGVNQebFEVDD9WTtp5nCW0lGIjF,,"How would I describe myself? Three words: hardworking, alphamale, jackhammer, merciless, instable - dwisht schrute"
https://drive.google.com/open?id=1HKjm6vJNygY469qEAah2PST5MhYhpaij,,good engineering education is not only for rich people
https://drive.google.com/open?id=1wBW31sC8ESZDjEQsCIjKFuyu6TM5v7XW,,making referrals and preparation resources opensource for all
https://drive.google.com/open?id=1YZkwSNubfJzIiepGpdYXNO0OGX3PBrD-,,I quit
https://drive.google.com/open?id=1Dkfh__WBmzQBvQcbJauryrVjn7sOMobu,,we will moonnight its our right.. And there is no other choice 
https://drive.google.com/open?id=1eTwlHQD87BhuQKmy4So0_tCYjczWp5JK,,"online coding challenges are ""SHIT"""
https://drive.google.com/open?id=1ranzhNzs5UNHiO07Xxz0IhylHCxHUiU1,,"knowing is not enough we must apply , willing is not enough , we must do."
https://drive.google.com/open?id=1VxJZOKquVN2yEUbXKtCNJwjxib1T-zYy,,The happiness of your life depends upon the quality of your thoughts. Marcus aurelius
https://drive.google.com/open?id=1KSjx4A07Q56NnaH_y0t7Wmdk180f7JbW,,There are always flowers for those who want to see them . Henri matisse
https://drive.google.com/open?id=1fmCdfo5XJmbq80iW9PI-A829un0DCAI4,,"In order to rise from its own ashes, a phoenix first must burn. Octavia butler"
https://drive.google.com/open?id=17K4j7HIgohPuB-oIjukaRCyMVqzDzl2A,,"Yestarday, I was clever , so I wanted to change the world . Today I am wise , so I am changing myself  - rumi"
https://drive.google.com/open?id=1gH122nOZD0lmBoXFFF7tvhJNFjw4bhcN,,"if you are'nt at the at the table , you are on the menu . Ann Richerds"
https://drive.google.com/open?id=1o84WxfbcI3fl6N7t7gou0582kghELphM,,sometime I belived as many as six impossible things before breakfast
https://drive.google.com/open?id=1HzJ3M4T4NR8bNTpTWfwHYmn-XelZVFFl,,A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
https://drive.google.com/open?id=1eLoKk7sDk38BAtcYLim5Dpi8sknVnInr,,The quick brown fox jumps over the lasy dog 
https://drive.google.com/open?id=1WHOsuYEKIBJKhpdjclWTjSR_dwFTgydS,,Quick brown fox jumps over the lazy dog
https://drive.google.com/open?id=1wMtsgi4GtVb6umkDoV2iWJsD8Xw-sMSm,,The quick brown fox jumps over the lasy dog 
https://drive.google.com/open?id=17_hifckSZ3kQkL1t1Bzg8SIUuMibjRyY,,The quick brown fox jumps over the lasy dog 
https://drive.google.com/open?id=1FbFcmaG1UYj4IIoci70h0y_N5OgS09Dz,,The quick brown fox jumps over the lasy dog 
https://drive.google.com/open?id=1rMlGgU2acxxz6mks0LxuVHcYizu5d5NH,,She swims everyday she swins evryday
https://drive.google.com/open?id=1YSQOJageD5huJT91IiF3Lbuu1v_w66KE,,she swims everyday 
